#Digilent WaveForms Oscilloscope Acquisition
#Device Name: PlasmaStuff
#Serial Number: SN:210321A41FE0
#Date Time: 2018-11-27 16:29:38.254
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 200 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 8.6 V
#Channel 2: Range: 2 V/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.10237500000000001,-7.2385322126446869,0.054629945112958767
-0.10235,-7.2458778959087411,0.050912559366075825
-0.102325,-7.2311865293806266,0.047195173619196271
-0.1023,-7.2385322126446869,0.043477787872315016
-0.102275,-7.2568964208048401,0.043477787872315016
-0.10225000000000001,-7.267914945700932,0.039760402125433768
-0.102225,-7.275260628964987,0.036043016378550827
-0.1022,-7.2642421040689005,0.032325630631671272
-0.102175,-7.2311865293806266,0.028608244884790024
-0.10215,-7.2348593710126572,0.024890859137908776
-0.10212500000000001,-7.2495507375407788,0.024890859137908776
-0.1021,-7.2605692624368761,0.021173473391027525
-0.102075,-7.2715877873329617,0.021173473391027525
-0.10205,-7.278933470597023,0.017456087644146277
-0.102025,-7.2826063122290536,0.013738701897265029
-0.10200000000000001,-7.2899519954931149,0.010021316150383779
-0.101975,-7.2972976787571771,0.010021316150382089
-0.10195,-7.3009705203892068,0.0063039304035025301
-0.101925,-7.3083162036532672,0.0063039304035025301
-0.1019,-7.3156618869173284,-0.0011308410902599675
-0.10187500000000001,-7.3156618869173284,-0.0011308410902599675
-0.10185,-7.2495507375407655,-0.0048482268371429068
-0.101825,-7.2201680044845347,-0.008565612584022466
-0.1018,-7.2642421040689005,-0.012282998330903714
-0.101775,-7.2862791538610843,-0.016000384077784962
-0.10175000000000001,-7.3046433620212365,-0.019717769824666213
-0.101725,-7.3303532534454572,-0.019717769824667903
-0.1017,-7.3450446199735726,-0.023435155571547461
-0.101675,-7.3560631448696636,-0.027152541318428709
-0.10165,-7.3634088281337249,-0.030869927065309957
-0.10162500000000001,-7.3707545113977861,-0.030869927065309957
-0.1016,-7.3781001946618492,-0.038304698559072453
-0.101575,-7.381773036293878,-0.038304698559072453
-0.10155,-7.3854458779259087,-0.042022084305953708
-0.101525,-7.3891187195579384,-0.045739470052834956
-0.10150000000000001,-7.3927915611899699,-0.045739470052834956
-0.10147500000000001,-7.3964644028219979,-0.045739470052834956
-0.10145,-7.3964644028219997,-0.053174241546597452
-0.101425,-7.4001372444540303,-0.0568916272934787
-0.1014,-7.4038100860860609,-0.0568916272934787
-0.10137500000000001,-7.4074829277180916,-0.060609013040359955
-0.10135000000000001,-7.4038100860860627,-0.064326398787239503
-0.101325,-7.4074829277180916,-0.068043784534122451
-0.1013,-7.4148286109821528,-0.071761170281003692
-0.101275,-7.4185014526141835,-0.075478556027884947
-0.10125000000000001,-7.4258471358782439,-0.075478556027884947
-0.10122500000000001,-7.4295199775102727,-0.079195941774764494
-0.1012,-7.4295199775102745,-0.082913327521647442
-0.101175,-7.4331928191423051,-0.086630713268528697
-0.10115,-7.4368656607743358,-0.086630713268528697
-0.10112500000000001,-7.4368656607743358,-0.094065484762291193
-0.10110000000000001,-7.4442113440383935,-0.094065484762291193
-0.101075,-7.444211344038397,-0.097782870509172434
-0.10105,-7.4478841856704268,-0.097782870509172434
-0.101025,-7.4515570273024583,-0.10150025625605369
-0.10100000000000001,-7.455229868934488,-0.10150025625605369
-0.10097500000000001,-7.4589027105665169,-0.1089350277498128
-0.10095,-7.4589027105665187,-0.10893502774981619
-0.100925,-7.4625755521985493,-0.11265241349669743
-0.1009,-7.4699212354626106,-0.11265241349669743
-0.10087500000000001,-7.4735940770946412,-0.11636979924357868
-0.10085000000000001,-7.4735940770946412,-0.12008718499045824
-0.100825,-7.4735940770946412,-0.12008718499045994
-0.1008,-7.4772669187266718,-0.12380457073734119
-0.100775,-7.4809397603587016,-0.12752195648422243
-0.10075000000000001,-7.4809397603587016,-0.13123934223110367
-0.10072500000000001,-7.4809397603587016,-0.13495672797798322
-0.1007,-7.4846126019907331,-0.13867411372486618
-0.100675,-7.4919582852547935,-0.13867411372486618
-0.10065,-7.4919582852547935,-0.14239149947174742
-0.10062500000000001,-7.4956311268868241,-0.14610888521862866
-0.10060000000000001,-7.4993039685188529,-0.14982627096550824
-0.100575,-7.5029768101508854,-0.14982627096550993
-0.10055,-7.506649651782916,-0.15354365671239117
-0.100525,-7.506649651782916,-0.15354365671239117
